event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),,adjusted_quantity,,Promo_price,,Total Revenue Generated,,Incremental revenue,,incremental sold unit
7f650b,STCBE-2,CAMP_SAN_01,P11,190,50% OFF,34,52,,52,,95,,11400,,-1520,,18
a21f91,STBLR-8,CAMP_DIW_01,P03,156,25% OFF,393,322,,322,,117,,98982,,-23634,,-71
78bc80,STVJD-0,CAMP_SAN_01,P07,300,BOGOF,22,85,,170,,150,,32100,,18900,,148
a1503f,STCBE-1,CAMP_DIW_01,P15,3000,500 Cashback,329,1000,,1000,,2500,,3487000,,1513000,,671
1091cf,STBLR-6,CAMP_DIW_01,P05,55,25% OFF,108,93,,93,,41.25,,9776.25,,-2103.75,,-15
8.02E+96,STBLR-4,CAMP_DIW_01,P11,190,50% OFF,91,116,,116,,95,,28310,,-6270,,25
73d86f,STVSK-2,CAMP_SAN_01,P10,50,25% OFF,31,26,,26,,37.5,,2525,,-575,,-5
fe3560,STHYD-4,CAMP_DIW_01,P13,350,BOGOF,73,245,,490,,175,,111300,,60200,,417
6b2afc,STCBE-4,CAMP_SAN_01,P08,1190,BOGOF,30,79,,158,,595,,129710,,58310,,128
ce5851,STMDU-2,CAMP_SAN_01,P03,200,BOGOF,318,1265,,2530,,100,,316600,,189400,,2212
dd6685,STMYS-2,CAMP_DIW_01,P06,415,25% OFF,78,70,,70,,311.25,,54157.5,,-10582.5,,-8
8f25a6,STHYD-6,CAMP_SAN_01,P15,3000,500 Cashback,126,302,,302,,2500,,1133000,,377000,,176
5c3c33,STCHE-6,CAMP_DIW_01,P12,62,50% OFF,154,207,,207,,31,,15965,,-3131,,53
d290a1,STBLR-3,CAMP_DIW_01,P04,290,25% OFF,343,270,,270,,217.5,,158195,,-40745,,-73
635862,STVSK-4,CAMP_SAN_01,P02,860,33% OFF,348,480,,480,,576.2,,575856,,-22704,,132
c0ecb5,STCHE-2,CAMP_SAN_01,P07,300,BOGOF,43,167,,334,,150,,63000,,37200,,291
182caa,STCHE-5,CAMP_SAN_01,P06,415,25% OFF,39,33,,33,,311.25,,26456.25,,-5913.75,,-6
c4db5b,STTRV-0,CAMP_DIW_01,P01,172,33% OFF,164,236,,236,,115.24,,55404.64,,-1011.36,,72
